card_no,year,month,sales,transactions,items
14258,2010,1,7.11E-15,4,65
10362,2010,1,2.13E-14,2,57
10693,2010,1,-1.42E-14,6,91
14644,2010,1,-1.42E-14,7,83
21846,2010,1,-7.11E-15,3,38
13429,2010,1,-8.53E-14,8,122
23932,2010,1,0,16,140
23139,2010,1,4.97E-14,7,116
14597,2010,1,-7.11E-15,2,44
21935,2010,1,7.11E-15,1,22
47852,2010,1,2.84E-14,7,123
17920,2010,1,7.11E-15,6,81
11235,2010,1,1.78E-14,10,90
12368,2010,1,0,3,34
15999,2010,1,-2.13E-14,3,65
22539,2010,1,7.11E-15,1,31
13681,2010,1,2.13E-13,4,153
20284,2010,1,-1.42E-14,2,26
24752,2010,1,-1.24E-14,4,48
14307,2010,1,-1.42E-14,1,12
40750,2010,1,0,6,58
26285,2010,1,0,1,17
11197,2010,1,-1.42E-14,7,127
21068,2010,1,7.11E-15,4,39
24972,2010,1,-7.11E-15,3,46
23568,2010,1,-2.84E-14,9,216
16704,2010,1,0,1,21
20450,2010,1,-1.42E-14,13,145
19299,2010,1,-1.24E-13,43,416
10360,2010,1,-2.84E-14,1,61
21791,2010,1,8.53E-14,19,292
51073,2010,1,4.44E-15,7,94
20135,2010,1,-7.82E-14,7,134
21452,2010,1,-1.42E-14,7,109
50362,2010,1,-1.42E-14,3,50
17194,2010,1,4.26E-14,11,127
23352,2010,1,3.55E-15,4,45
19412,2010,1,-7.11E-15,1,33
50092,2010,1,2.13E-14,3,22
10067,2010,1,7.11E-15,2,32
15504,2010,1,-1.42E-14,11,114
21475,2010,1,1.60E-14,6,85
12851,2010,1,1.07E-14,5,59
22680,2010,1,3.38E-14,4,92
22367,2010,1,-1.42E-14,5,52
50751,2010,1,-7.11E-14,10,165
13675,2010,1,7.11E-15,7,59
10863,2010,1,-1.42E-14,1,42
13332,2010,1,0,2,16
13791,2010,1,-3.55E-14,8,88
20785,2010,1,-5.68E-14,12,149
15870,2010,1,-1.07E-14,2,27
50136,2010,1,-5.68E-14,11,140
21989,2010,1,4.26E-14,16,178
22813,2010,1,1.28E-13,9,206
31139,2010,1,0,2,15
11140,2010,1,-7.82E-14,14,293
23847,2010,1,4.22E-15,3,60
22084,2010,1,1.42E-14,7,115
19723,2010,1,-5.68E-14,6,105
21007,2010,1,1.60E-14,5,97
20113,2010,1,-3.98E-13,9,225
20286,2010,1,5.68E-14,4,111
12072,2010,1,1.14E-13,11,308
24823,2010,1,-2.31E-14,12,151
11758,2010,1,2.13E-14,4,72
23174,2010,1,2.13E-14,2,36
22385,2010,1,-5.68E-14,17,251
11651,2010,1,1.71E-13,16,378
22675,2010,1,7.11E-15,2,48
14052,2010,1,-1.95E-14,6,80
13704,2010,1,-1.78E-15,9,76
16034,2010,1,-7.11E-15,1,44
38552,2010,1,-3.20E-14,15,297
12298,2010,1,-1.42E-14,9,134
13845,2010,1,-5.55E-15,2,26
10898,2010,1,-1.71E-13,13,252
38204,2010,1,1.42E-14,5,64
18224,2010,1,1.14E-13,8,146
21551,2010,1,-1.07E-14,9,93
50036,2010,1,-1.78E-15,5,32
12682,2010,1,-2.84E-14,10,132
18202,2010,1,5.33E-15,4,38
17043,2010,1,-5.33E-15,4,42
15396,2010,1,5.12E-13,3,155
50230,2010,1,-7.11E-15,16,110
19407,2010,1,-2.84E-14,2,38
17010,2010,1,-8.53E-14,24,270
50245,2010,1,-7.11E-15,1,10
22888,2010,1,1.42E-13,17,373
27116,2010,1,1.24E-14,1,27
12743,2010,1,-1.42E-14,5,134
13593,2010,1,-7.64E-14,9,124
51037,2010,1,2.84E-14,4,49
25197,2010,1,-1.42E-14,9,148
17045,2010,1,-5.68E-14,17,217
20241,2010,1,-4.44E-15,1,9
12171,2010,1,2.13E-14,6,93
51140,2010,1,0,1,13
47325,2010,1,8.88E-15,9,81
23024,2010,1,0,5,58
23514,2010,1,1.24E-14,2,25
42829,2010,1,4.44E-15,3,27
47365,2010,1,2.13E-14,4,75
15750,2010,1,3.38E-13,11,206
22700,2010,1,-7.11E-14,7,190
50309,2010,1,5.33E-15,4,33
42736,2010,1,-1.78E-15,6,43
50910,2010,1,-1.42E-14,16,279
23525,2010,1,-5.68E-14,3,131
36817,2010,1,-2.84E-14,6,154
15592,2010,1,2.27E-13,6,160
14443,2010,1,7.11E-15,3,64
19524,2010,1,0,8,59
50476,2010,1,0,1,6
22236,2010,1,7.11E-15,5,67
21375,2010,1,0,1,7
11418,2010,1,-1.78E-15,10,104
18956,2010,1,0,1,7
13253,2010,1,0,1,8
13408,2010,1,-1.42E-14,3,127
50624,2010,1,-1.42E-14,3,21
12344,2010,1,-1.42E-14,13,183
25263,2010,1,1.78E-14,4,68
18538,2010,1,7.11E-15,2,34
23418,2010,1,2.27E-13,7,209
19923,2010,1,-1.42E-14,3,40
16897,2010,1,-3.55E-15,3,25
17432,2010,1,-1.42E-14,11,120
22617,2010,1,-1.42E-14,9,96
21389,2010,1,-1.24E-14,5,41
50265,2010,1,2.13E-14,12,127
50277,2010,1,0,1,6
12237,2010,1,-7.11E-15,8,183
15869,2010,1,1.14E-13,10,212
12321,2010,1,2.13E-14,10,115
16675,2010,1,3.55E-14,7,135
19817,2010,1,-1.78E-15,8,70
19424,2010,1,7.11E-15,28,238
40375,2010,1,3.55E-14,8,57
50371,2010,1,-1.07E-14,12,89
23097,2010,1,0,1,6
21364,2010,1,2.13E-14,15,113
20071,2010,1,6.22E-15,3,30
11316,2010,1,-1.42E-14,24,204
18275,2010,1,2.84E-14,5,83
20975,2010,1,0,4,45
11891,2010,1,-8.53E-14,4,73
15000,2010,1,3.55E-15,1,11
17074,2010,1,-1.42E-14,11,98
10716,2010,1,3.55E-15,2,27
18378,2010,1,1.31E-13,8,172
20889,2010,1,1.42E-14,7,116
12609,2010,1,1.71E-13,23,314
36844,2010,1,0,1,7
10712,2010,1,-3.06E-13,8,237
15723,2010,1,7.11E-15,1,22
46390,2010,1,-8.88E-15,3,42
16918,2010,1,-3.55E-15,3,52
35038,2010,1,2.84E-14,6,54
15678,2010,1,7.11E-15,3,51
31083,2010,1,-5.68E-14,13,154
22699,2010,1,1.42E-14,12,230
12097,2010,1,0,2,36
50121,2010,1,3.55E-15,1,11
18424,2010,1,2.02E-14,6,64
16152,2010,1,-2.34E-13,53,523
19106,2010,1,8.88E-16,2,11
50920,2010,1,1.78E-14,1,26
18728,2010,1,-8.88E-15,6,92
25078,2010,1,6.39E-14,8,132
24392,2010,1,0,10,72
14625,2010,1,0,8,97
21998,2010,1,-6.39E-14,16,177
16176,2010,1,1.42E-14,6,84
13042,2010,1,-4.26E-14,11,103
15034,2010,1,3.55E-15,3,22
30163,2010,1,4.44E-16,1,10
19376,2010,1,2.49E-14,4,62
